applotnumber,country,receivedlotdate,procest,procestname,haccpcode,productcategory,species,finalweightrefused,refusalreasons,failedtoi,defect
1749640-2,MEXICO,7/1/2021,111,"Ganaderia Integral Vizur, S.A. de C.V.",03C,Raw intact beef,Beef,69,Shipping Damage,,"Torn, exposed"
1750527-4,MEXICO,7/1/2021,645,"Ganaderia y Rastro de la Laguna, S.A. de C.V.",03C,Raw intact beef,Beef,70,Shipping Damage,,"Crushed, blood stained"
1750019-1,IRELAND,7/1/2021,325,Liffey Meats (Cavan) UC T/A Liffey Meats,03C,Raw intact beef,Beef,151,Invalid Shipping Mark,,Missing Shipping Mark
1750019-2,IRELAND,7/1/2021,325,Liffey Meats (Cavan) UC T/A Liffey Meats,03C,Raw intact beef,Beef,32,Invalid Shipping Mark,,Missing Shipping Mark
1735764-1,BRAZIL,7/1/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1744498-1,URUGUAY,7/1/2021,394,Frigorifico La Caballada (Cledinor S.A.),03C,Raw intact beef,Beef,50,Invalid Shipping Mark,,Missing Shipping Mark
1744499-1,URUGUAY,7/1/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,55,Invalid Shipping Mark,,Missing Shipping Mark
1744497-1,URUGUAY,7/1/2021,12,Frigorifico Tacuarembo S.A.,03C,Raw intact beef,Beef,51,Shipping Damage,,"Torn, exposed"
1739418-1,SPAIN,7/1/2021,33,Frigorificos Costa Brava SA,03C,Raw intact pork,Pork,28,Invalid Shipping Mark,,Missing Shipping Mark
1715550-1,VIETNAM,7/1/2021,DL511,Van Duc Tien Giang Food Export Company,03C,Raw intact meat - other,Siluriformes - Other,15,Shipping Damage,,"Torn, exposed"
1749109-1,NEW ZEALAND,7/1/2021,ME52,Silver Fern Farms Limited - Pacific,03C,Raw intact beef,Beef,480,Shipping Damage,,"Torn, exposed"
1743095-1,NEW ZEALAND,7/1/2021,PH206,Silver Fern Farms Limited - Hokitika,03C,Raw intact beef,Beef,360,Invalid Shipping Mark,,Missing Shipping Mark
1746891-1,AUSTRALIA,7/1/2021,7,Tey's Australia Meat Group Pty Ltd,03C,Raw intact beef,Beef,48,Shipping Damage,,"Crushed, blood stained"
1741926-1,NEW ZEALAND,7/1/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1741968-1,NEW ZEALAND,7/1/2021,PH206,Silver Fern Farms Limited - Hokitika,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1750866-3,NEW ZEALAND,7/1/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,96,Invalid Shipping Mark,,Missing Shipping Mark
1750866-8,NEW ZEALAND,7/1/2021,ME42,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,50,Shipping Damage,,"Torn, exposed"
1741899-2,AUSTRALIA,7/1/2021,194,Greenmountain Food Processing Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1741899-3,AUSTRALIA,7/1/2021,194,Greenmountain Food Processing Pty Ltd,03C,Raw intact beef,Beef,60,Invalid Inspection Certificate/ Shipping Damage,,"Inspection certificate issues/ Torn, exposed"
1741899-4,AUSTRALIA,7/1/2021,194,Greenmountain Food Processing Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1741899-5,AUSTRALIA,7/1/2021,194,Greenmountain Food Processing Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1741899-6,AUSTRALIA,7/1/2021,194,Greenmountain Food Processing Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1741899-7,AUSTRALIA,7/1/2021,194,Greenmountain Food Processing Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1750798-1,CANADA,7/1/2021,93,Cargill Limited/Cargill Limitee,03C,Raw intact beef,Beef,76,Failed Type of Inspection (Y)/ Other,Label Verification,Container labeling issues/ Misc. Labeling Issue
1738411-3,AUSTRALIA,7/1/2021,206,Global Meat Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Goat,52,Shipping Damage,,"Torn, exposed"
1742939-1,NEW ZEALAND,7/1/2021,ME21,Alliance Group Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1732364-2,AUSTRALIA,7/1/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,57,Shipping Damage,,"Torn, exposed"
1732364-3,AUSTRALIA,7/1/2021,235,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,89,Invalid Shipping Mark,,Missing Shipping Mark
1749108-1,NEW ZEALAND,7/1/2021,ME52,Silver Fern Farms Limited - Pacific,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1746276-3,AUSTRALIA,7/1/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,35,Shipping Damage,,"Torn, exposed"
1749064-2,ARGENTINA,7/1/2021,1970,Frigorifico Regional Industrias Alimenticias Reconquista S.A.,03C,Raw intact beef,Beef,90,Invalid Shipping Mark,,Missing Shipping Mark/ Shipping Mark Invalid
1750132-1,NEW ZEALAND,7/1/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1747764-1,CHILE,7/1/2021,1307,Agroindustrial el Paico S.A.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,40,Invalid Shipping Mark,,Missing Shipping Mark
1751093-1,CANADA,7/1/2021,93,Cargill Limited/Cargill Limitee,03C,Raw intact beef,Beef,104,Compromised Vacuum Package,,Leaking Vacuum Package
1751067-1,AUSTRALIA,7/1/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,48,Compromised Vacuum Package,,Leaking Vacuum Package
1744193-1,AUSTRALIA,7/1/2021,262,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,92,Invalid Shipping Mark,,Missing Shipping Mark
1744193-2,AUSTRALIA,7/1/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,63,Invalid Shipping Mark,,Missing Shipping Mark
1744194-2,AUSTRALIA,7/1/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,57,Compromised Vacuum Package,,Leaking Vacuum Package
1744197-1,AUSTRALIA,7/1/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,51,Other,,Misc. Labeling Issue
1741559-1,AUSTRALIA,7/1/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,99,Compromised Vacuum Package,,Leaking Vacuum Package
1741558-3,AUSTRALIA,7/1/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,103,Invalid Shipping Mark,,Missing Shipping Mark
1741557-2,AUSTRALIA,7/1/2021,170,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,33,Invalid Shipping Mark,,Shipping Mark Invalid
1744162-1,NEW ZEALAND,7/2/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1747646-2,AUSTRALIA,7/2/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1735904-1,NEW ZEALAND,7/2/2021,ME21,Alliance Group Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1750133-1,NEW ZEALAND,7/2/2021,ME103,Auckland Meat Processors Limited,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Illegible Shipping Marks/ Torn, exposed"
1740627-1,URUGUAY,7/2/2021,310,Breeders & Packers Uruguay S.A.,03C,Raw intact beef,Beef,49,Shipping Damage,,"Torn, exposed"
1749801-1,AUSTRALIA,7/2/2021,170,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Illegible Shipping Marks
1751383-2,AUSTRALIA,7/2/2021,203,Stanbroke Beef Pty Ltd,03C,Raw intact beef,Beef,130,Invalid Shipping Mark,,Shipping Mark Invalid
1751383-3,AUSTRALIA,7/2/2021,203,Stanbroke Beef Pty Ltd,03C,Raw intact beef,Beef,116,Invalid Shipping Mark,,Shipping Mark Invalid
1749133-1,NEW ZEALAND,7/2/2021,ME18,Alliance Group Limited,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Illegible Shipping Marks
1742782-1,NEW ZEALAND,7/2/2021,ME9,Silver Fern Farms Limited - Hawera,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1739000-1,URUGUAY,7/2/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1739001-1,URUGUAY,7/2/2021,55,Inaler S.A. (Inaler S.A.),03C,Raw intact beef,Beef,46,Invalid Shipping Mark,,Missing Shipping Mark
1739002-1,URUGUAY,7/2/2021,12,Frigorifico Tacuarembo S.A.,03C,Raw intact beef,Beef,58,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1743963-1,AUSTRALIA,7/2/2021,486,E C Throsby,03C,Raw intact beef,Beef,208,Shipping Damage,,"Torn, exposed"
1743963-2,AUSTRALIA,7/2/2021,486,E C Throsby,03C,Raw intact beef,Beef,106,Shipping Damage,,"Torn, exposed"
1743997-1,NEW ZEALAND,7/2/2021,ME43,Riverlands Eltham Limited,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1743997-2,NEW ZEALAND,7/2/2021,ME43,Riverlands Eltham Limited,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1749072-2,URUGUAY,7/2/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1744208-1,NEW ZEALAND,7/2/2021,ME52,Silver Fern Farms Limited - Pacific,03C,Raw intact beef,Beef,467,Invalid Shipping Mark,,Missing Shipping Mark
1744209-1,NEW ZEALAND,7/2/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,41,Invalid Shipping Mark,,Missing Shipping Mark
1752092-1,AUSTRALIA,7/2/2021,262,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,86,Shipping Damage,,"Crushed, blood stained"
1752092-2,AUSTRALIA,7/2/2021,262,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,51,Shipping Damage,,"Crushed, blood stained"
1744403-2,AUSTRALIA,7/2/2021,262,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,180,Shipping Damage,,"Crushed, blood stained"
1742759-1,NEW ZEALAND,7/2/2021,ME52,Silver Fern Farms Limited - Pacific,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1741952-1,NEW ZEALAND,7/2/2021,ME21,Alliance Group Limited,03C,Raw intact beef,Beef,360,Shipping Damage,,"Torn, exposed"
1741853-1,NEW ZEALAND,7/2/2021,ME78,CMP Canterbury Limited,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1751541-3,MEXICO,7/2/2021,89,"Productos Chata, S.A. De C.V.",03D,"Thermally processed, commercially sterile",Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1751541-4,MEXICO,7/2/2021,89,"Productos Chata, S.A. De C.V.",03D,"Thermally processed, commercially sterile",Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1742317-1,AUSTRALIA,7/2/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1744191-1,AUSTRALIA,7/2/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1749119-1,AUSTRALIA,7/2/2021,2309,Fletcher International Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1739742-2,AUSTRALIA,7/2/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1736897-1,BRAZIL,7/2/2021,1940,Minerva S.A.,03C,Raw intact beef,Beef,360,Invalid Shipping Mark,,Missing Shipping Mark
1739769-1,NEW ZEALAND,7/2/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1736896-1,BRAZIL,7/2/2021,1940,Minerva S.A.,03C,Raw intact beef,Beef,300,Invalid Shipping Mark,,Missing Shipping Mark
1743220-1,AUSTRALIA,7/2/2021,4,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1743223-1,AUSTRALIA,7/2/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,342,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1749655-4,MEXICO,7/2/2021,120,"Sukarne Produccion, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,35,Compromised Vacuum Package,,Leaking Vacuum Package
1749655-9,MEXICO,7/2/2021,120,"Sukarne Produccion, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,70,Compromised Vacuum Package,,Leaking Vacuum Package
1749655-11,MEXICO,7/2/2021,120,"Sukarne Produccion, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,62,Compromised Vacuum Package,,Leaking Vacuum Package
1752417-2,MEXICO,7/2/2021,431,"Sukarne Agroindustrial, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,34,Compromised Vacuum Package,,Leaking Vacuum Package
1747082-4,AUSTRALIA,7/2/2021,689,Australian Lamb Company Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1747082-8,AUSTRALIA,7/2/2021,689,Australian Lamb Company Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1747082-12,AUSTRALIA,7/2/2021,689,Australian Lamb Company Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1747082-14,AUSTRALIA,7/2/2021,689,Australian Lamb Company Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1737792-1,BRAZIL,7/2/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,106,Shipping Damage,,"Torn, exposed"
1740489-1,BRAZIL,7/2/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,55,Shipping Damage,,"Torn, exposed"
1752970-1,CANADA,7/3/2021,396,"2344959 Ontario, Inc.",03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,0,Invalid Inspection Certificate,,Inspection certificate issues
1747630-2,AUSTRALIA,7/3/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1747630-3,AUSTRALIA,7/3/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1753075-2,CANADA,7/3/2021,794,Harmony Beef Company Ltd.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1736059-1,AUSTRALIA,7/3/2021,3416,Meramist Pty Ltd,03C,Raw intact beef,Beef,180,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1736059-2,AUSTRALIA,7/3/2021,3416,Meramist Pty Ltd,03C,Raw intact beef,Beef,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1745279-2,AUSTRALIA,7/3/2021,517,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,253,Invalid Inspection Certificate,,Inspection certificate issues
1753598-5,CANADA,7/3/2021,270A,Olymel S.E.C./Olymel L.P.,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1753625-1,CANADA,7/4/2021,794,Harmony Beef Company Ltd.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1753631-1,CANADA,7/4/2021,794,Harmony Beef Company Ltd.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1753634-1,CANADA,7/4/2021,794,Harmony Beef Company Ltd.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1753676-6,CANADA,7/4/2021,93,Cargill Limited/Cargill Limitee,03C,Raw intact beef,Beef,1940,Shipping Damage,,"Crushed, blood stained"
1753676-7,CANADA,7/4/2021,93,Cargill Limited/Cargill Limitee,03C,Raw intact beef,Beef,1825,Shipping Damage,,"Crushed, blood stained"
1751071-1,CANADA,7/4/2021,270A,Olymel S.E.C./Olymel L.P.,03C,Raw intact pork,Pork,1875,Shipping Damage,,"Crushed, blood stained"
1745883-2,AUSTRALIA,7/5/2021,572,Western Australian Meat Marketing Co-operative Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,38,Shipping Damage,,"Torn, exposed"
1744510-2,URUGUAY,7/5/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,60,Other,,Misc. Labeling Issue
1746550-1,URUGUAY,7/5/2021,26,Frigoyi (Bilacor S.A.),03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1742311-1,BRAZIL,7/5/2021,431,Minerva S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1742310-1,BRAZIL,7/5/2021,431,Minerva S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1753496-1,CANADA,7/5/2021,7,Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc.,03C,Raw intact pork,Pork,41709,Invalid Inspection Certificate,,Inspection certificate issues
1748064-4,AUSTRALIA,7/5/2021,1614,JBS Australia Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,39,Invalid Shipping Mark,,Missing Shipping Mark
1742760-1,AUSTRALIA,7/5/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1742760-2,AUSTRALIA,7/5/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1749642-3,AUSTRALIA,7/5/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Inspection Certificate,,Inspection certificate issues
1749141-3,NEW ZEALAND,7/5/2021,ME17,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,27,Invalid Shipping Mark,,Illegible Shipping Marks/ Missing Shipping Mark
1744825-1,AUSTRALIA,7/5/2021,205,Greenham Gippsland Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1751338-1,AUSTRALIA,7/5/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,55,Shipping Damage,,"Crushed, blood stained"
1751339-1,AUSTRALIA,7/5/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,63,Shipping Damage,,"Crushed, blood stained"
1744547-2,URUGUAY,7/5/2021,439,Frigorifico Matadero Pando (Ontilcor S.A.),03C,Raw intact beef,Beef,50,Shipping Damage,,"Crushed, blood stained"
1749094-1,NEW ZEALAND,7/6/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1749094-2,NEW ZEALAND,7/6/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1749094-3,NEW ZEALAND,7/6/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,360,Shipping Damage,,"Torn, exposed"
1747853-1,NEW ZEALAND,7/6/2021,ME50,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,51,Invalid Shipping Mark,,Missing Shipping Mark
1741432-3,AUSTRALIA,7/6/2021,206,Global Meat Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Goat,102,Shipping Damage,,"Torn, exposed"
1750311-1,AUSTRALIA,7/6/2021,206,Global Meat Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,34,Invalid Shipping Mark,,Missing Shipping Mark
1736885-1,CHILE,7/6/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,80,Invalid Shipping Mark,,Missing Shipping Mark
1749051-3,AUSTRALIA,7/6/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,34,Invalid Shipping Mark,,Missing Shipping Mark
1748820-1,AUSTRALIA,7/6/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1748820-3,AUSTRALIA,7/6/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1748484-1,CHILE,7/6/2021,602,Faenadora Lo Miranda Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,90,Invalid Shipping Mark,,Missing Shipping Mark
1742664-1,NEW ZEALAND,7/6/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1742873-1,NEW ZEALAND,7/6/2021,ME125,Silver Fern Farms Limited - Dargaville,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1743138-1,DENMARK,7/6/2021,65,Danish Crown Foods A/S (also T/A Tulip Food Company),03D,"Thermally processed, commercially sterile",Pork,21,Shipping Damage,,"Torn, exposed"
1737526-1,BRAZIL,7/6/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,108,Shipping Damage,,"Torn, exposed"
1737527-1,BRAZIL,7/6/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,56,Shipping Damage,,"Torn, exposed"
1740430-1,BRAZIL,7/6/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,53,Shipping Damage,,"Torn, exposed"
1740431-1,BRAZIL,7/6/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,58,Shipping Damage,,"Torn, exposed"
1745804-1,BRAZIL,7/6/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,53,Shipping Damage,,"Torn, exposed"
1745805-1,BRAZIL,7/6/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1745806-1,BRAZIL,7/6/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,111,Shipping Damage,,"Torn, exposed"
1743961-2,AUSTRALIA,7/6/2021,486,E C Throsby,03C,Raw intact beef,Beef,260,Shipping Damage,,"Torn, exposed"
1743967-1,AUSTRALIA,7/6/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1743967-2,AUSTRALIA,7/6/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1744000-1,AUSTRALIA,7/6/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1745237-1,NEW ZEALAND,7/6/2021,ME52,Silver Fern Farms Limited - Pacific,03C,Raw intact beef,Beef,480,Shipping Damage,,"Torn, exposed"
1745361-1,NEW ZEALAND,7/6/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1743309-1,NEW ZEALAND,7/6/2021,ME136,Alliance Group Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1734568-2,AUSTRALIA,7/6/2021,1620,Australian Country Choice Production Pty Ltd,03C,Raw intact beef,Beef,212,Invalid Shipping Mark/ Shipping Damage,,"Illegible Shipping Marks/ Torn, exposed"
1753889-1,CANADA,7/6/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,49,Compromised Vacuum Package,,Leaking Vacuum Package
