EstNumber,Company,Street,City,State,Zip,Phone,GrantDate,Activities,DBAs
G1547,"ISE Newberry, Inc.",2063 Alexander Street,Newberry,SC,29108,(803) 276-5803,03/21/2008,Egg Product,
G1579,"Wabash Valley Produce, Inc",4878 E. 450 North,Dubois,IN,47527,(812) 678-3471,07/01/1994,Egg Product,
G1602 + V1602,Crystal Lake LP,6500 W. Crystal Lake Rd.,Warsaw,IN,46580,(574) 858-2514,02/02/2018,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",
G1606,Willamette Egg Farms,31348 S. Highway 170,Canby,OR,97013,(503) 651-0000,11/27/2015,Egg Product,Willamette Egg Farms
G1610,"Papetti's Hygrade Egg Products, Inc.",847 North Avenue,Elizabeth,NJ,7206,(908) 282-7900,09/29/2014,Egg Product,Michael Foods Egg Products Company
G1612 + V1612,Marshall Egg Products Company,123 N. Miami Avenue,Marshall,MO,65340,(660) 886-3381,12/13/2018,"Certification - Export, Egg Product",
G1616,Michael Foods Egg Products Company,68 Spain Road,Klingerstown,PA,17941,(570) 425-2910,10/10/2017,Egg Product,
G1620 + V1620,Deb El Food Products,64 Kuther Road,Thompsonville,NY,12784,(845) 434-7560,03/15/2018,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",
G1633,"Farmer John Egg Company, Inc.",2416 N. Street,Bakersfield,CA,93301,(661) 327-1456,07/11/1988,Egg Product,
G1634,"Taylor Egg Products, Inc.",242 Littleworth Road,Dover,NH,3820,(603) 742-1050,07/31/2018,Egg Product,
G1673,"Perham Egg, LLC",515 4th Street NE,Perham,MN,56573,(218) 346-2500,04/15/2016,Egg Product,
G1704B,Herbruck's Poultry Ranch,478 Portland Road,Lake Odessa,MI,48849,(616) 642-9421,01/20/1995,Egg Product,
G1798,"Daybreak Foods, Inc.",609 Sixth St. NE,Long Prairie,MN,56347,(320) 732-2966,08/23/2005,Egg Product,
G20729,"Daybreak Foods, Inc.",4768 280th Street,Graettinger,IA,51342,(712) 209-2530,10/24/2019,Egg Product,
G20813 + V20813,Sunrise Farms Inc.,2060 White Ave.,Harris,IA,51345,(712) 735-6010,11/17/2017,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",
G20865 + V20865,M.G. Waldbaum Company,120 Tower Street,Gaylord,MN,55334,(507) 237-4600,05/28/2020,"Certification - Export, Egg Product",Michael Foods Egg Products Company
G21040,"Iowa Cage Free, LLLP",13780 450th Street,Thompson,IA,50478,(641) 584-2050,09/15/2021,Egg Product,
G21395,Fremont Farms of Iowa L.L.P.,3868 110th Street,Malcom,IA,50157,(641) 528-3447,09/11/2000,Egg Product,
G21597,"Daybreak Foods, Inc.",1959 Hwy 4 South,Estherville,IA,51334,(712) 362-7224,06/15/2016,Egg Product,
G21683,"Deb El Food Products, LLC",900 North Linn Avenue,New Hampton,IA,50659,(641) 426-3447,07/14/2020,Egg Product,
G21931,"Rembrandt Enterprises, Inc.",1419 480th St.,Rembrandt,IA,50576,(712) 286-6000,01/28/2020,Egg Product,
G21932 + V21936,Sonstegard of Arkansas,915 N. Jefferson St.,Springdale,AR,72764,(479) 872-0700,01/10/2017,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",
G31538,Center Fresh Egg Farm L.L.P.,4135 Garfield Ave.,Sioux Center,IA,51250,(712) 722-4265,08/02/2005,Egg Product,
G31540 + V31540,"Hickman's Egg Ranch, Inc.",32425 West Salome Hwy,Arlington,AZ,85332,(623) 386-1333,03/20/2017,"Certification - Export, Egg Product",Hickmans Family Farms
G31542 + V31542,Texas Egg Products LLC,1808 East Hwy 90,Waelder,TX,78959,(830) 788-7792,03/25/2016,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",
G31546,"New Day Farms, LLC",27322 State Route 739,Raymond,OH,43067,(937) 707-9858,03/30/2016,Egg Product,
G31547,"New Day Farms, LLC - Farm 3",27400 Coder-Holloway Rd.,West Mansfield,OH,43358,(937) 358-2593,05/02/2008,Egg Product,
G31548,Michael Foods Egg Products Company,1260 Highway 18E,Britt,IA,50423,(641) 843-3100,04/06/2016,Egg Product,
G31551 + V31551,Thrive Life,691 Automall Drive,American Fork,UT,84003,(801) 756-9902,05/03/2019,"Egg Product, Voluntary Processing - Egg Products",Thrive Foods
G31554,"Dimension Marketing and Sales, Inc.",386 West 9400 South,Sandy,UT,84070,(801) 748-0808,07/27/2017,Egg Product,GC Foods; Grandma's Country Foods
G31555,Stiebrs Farms,10909 Bald Hills Road,Yelm,WA,98597,(360) 458-3333,10/26/2010,Egg Product,
G31556,Hawkeye Pride Egg Farm LLP,1275 Deer Ave.,Corwith,IA,50430,(515) 583-2600,05/12/2016,Egg Product,
G339 + V339,Oskaloosa Food Products Corp.,543 Ninth Avenue East,Oskaloosa,IA,52577,(641) 673-3486,05/11/2016,Egg Product,
G34777,"Forsman Farms, Inc.",1200 Commerce Blvd,Howard Lake,MN,55329,(320) 286-5905,06/26/2017,Egg Product,
G398 + V398,"Henningsen Foods, Inc.",325 Third Street,David City,NE,68632,(308) 452-3221,03/29/2019,"Certification - Export, Egg Product, Voluntary Processing - Egg Products","Michael Foods, Inc."
G420 + V420,Michael Foods Egg Products Company,105 N. Maint Street,Wakefield,NE,68784,(402) 287-2211,11/12/2017,"Certification - Export, Egg Product, Voluntary Processing - Egg Products","M.G. Waldbaum; Michael Foods, Inc."
G420D + V420D,Michael Foods Egg Products Company,101A North Oak Street,Wakefield,NE,68784,(402) 287-2211,01/12/2017,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",
G420G + V420G,Husker Pride Farms MG Waldbaum Co.,58365 861 Road,Wakefield,NE,68784,(402) 287-5000,01/12/2017,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",Michael Foods Egg Product Co.
G420L + V420L,Big Red Farms,58535 HWY 35,WAKEFIELD,NE,68784,(402) 287-2211,01/12/2017,"Certification - Export, Egg Product, Voluntary Processing - Egg Products","MG Waldbaum Co.; Michael Foods, Inc"
G420M + V420M,Bloom-N-Egg Farm,54080 Highway 84 West,Bloomfield,NE,68718,(402) 373-6300,01/12/2017,"Certification - Export, Egg Product, Voluntary Processing - Egg Products",Michael Foods Egg Products Company
G45381,Cooper Farms Liquid Egg Products,2360 Wabash Road,Fort Recovery,OH,45846,(419) 375-5800,08/16/2021,Egg Product,
G45702,Chino Valley Ranchers,331 W. Citrus Street,Colton,CA,92324,(909) 264-2200,09/09/2021,Egg Product,Chino Valley Ranchers
G46444,Terra Companies DBA Judee's,"8205 Estates Parkway, Unit N",Plain City,OH,43064,(614) 504-6279,07/02/2021,Egg Product,
G46493,"New Day Farms, LLC",9300 Croton Road,Croton,OH,43031,(740) 893-2020,01/29/2019,Egg Product,
G46528,Pine Valley Ranch LLC,21638 St. Rt 116,Spencerville,OH,45887,(419) 305-6865,04/05/2019,Egg Product,
G46611,"Daybreak Foods, Inc.",N5344 Crossman Road,Lake Mills,WI,53551,(920) 648-2377,11/21/2019,Egg Product,
G46630,"Modernist Pantry, LLC",25 Harold L Dow Highway,Eliot,ME,3903,(207) 200-3817,10/01/2019,Egg Product,
G46780,Michael Foods Egg Products Company,101 Delaware Street,Norwalk,IA,50211,(704) 989-7239,10/24/2019,Egg Product,
G47106,AbE Manufacturing,700 Commercial Avenue,Waterloo,WI,53594,(608) 852-4872,01/13/2020,Egg Product,
G47419,"Cinnamonster Franchise Group, Inc.",860 Highway 105,Palmer Lake,CO,80133,(303) 770-5075,10/14/2020,Egg Product,Cinnamonster
G48139,Egg 24-7,6752 Eton Avenue,Canoga Park,CA,91303,(818) 346-3447,11/06/2015,Egg Product,
G496,"Estherville Foods, Inc.",105 N. 4th St.,Estherville,IA,51334,(712) 362-3527,02/11/2013,Egg Product,
G614,Trillium Farms,Trillium Farms c/o Marseilles Layer Plant,Harpster,OH,43323,(740) 499-3871,04/03/2012,Egg Product,
G778,"Daybreak Foods, Inc.",3159 Buchanan Ave.,Eagle Grove,IA,50533,(515) 603-3050,12/31/2015,Egg Product,
G779,Sonstegard Foods of Georgia,2079 Memorial Park Road,Gainesville,GA,30504,(770) 534-5644,07/21/2011,Egg Product,
G783,Ballas Egg Products Corporation,40 N. second St.,Zanesville,OH,43702,(740) 453-0386,09/07/1994,Egg Product,"B.E. Products, Inc; Ballas Egg Products Corp"
G900,Centrum Valley Farms L.L.P.,2865 310th St.,Dows,IA,50071,(515) 852-3217,07/09/2015,Egg Product,
G926,Trillium Farms - Layer # 5,20449 Co Rd. 245,Mount Victory,OH,43013,(937) 354-2233,03/28/2013,Egg Product,
I1,"Lineage Logistics PFS, LLC",275 BLAIR ROAD,AVENEL,NJ,7001,(908) 282-6500,01/17/2020,Imported Product,
I10,Atlantic Coast Freezers LLC,2192 NW Blvd,Vineland,NJ,8360,(856) 696-1770,02/10/2015,Imported Product,
I101,"Lineage Logistics, LLC",2001 W. Garfield Street,Seattle,WA,98119,(206) 285-6500,03/30/2020,Imported Product,
I102,Dreisbach Enterprises,3151 Regatta Blvd.,Richmond,CA,94804,(510) 533-6600,06/17/2020,Imported Product,Dreisbach Richmond; Driesbach; Driesbach Enterprises
I103,"Northwestern Selecta, Inc.","641 Calle B, Mario Julia Ind. Park",San Juan,PR,922,(787) 781-1950,03/03/2021,Imported Product,
I105 + V105,"MTC Logistics, Inc.",250 Yeend Street,Mobile,AL,36603,(912) 655-2334,07/24/2020,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Off-Premise Freez",
I106 + V106,Newcold Seattle Operations LLC,4601 South Orchard Street,Tacoma,WA,98466,(253) 753-9818,11/25/2020,"Certification - Export, Identification - Meat, Imported Product",
I107,"Jose Santiago, Inc.","Margianl Carr #5, Km. 4.4, Urb",Bayamon,PR,959,(787) 288-8835,12/06/2021,Imported Product,
I109,Isla Frio Refrigeration Corporation,100 Ave. Industrial # 1447,Cidra,PR,739,(401) 487-8808,10/06/2021,Imported Product,
I11,Dynamic Ventures Inc.,165-K Guerrero Street,Harmon,GU,96913,(671) 649-9788,05/12/2016,Imported Product,Quality Distributors
I111,Detroit Cold Storage,30405 Industrial Rd,Livonia,MI,48150,(734) 205-9010,11/03/2020,Imported Product,
I112 + V112,"Lineage Logistics PFS, LLC",601 Crossroads Blvd,Logan Township,NJ,8085,(732) 438-8400,03/11/2021,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",
I113,"San Rafael Distributing, Inc.","1270 N. Industrial Park Avenue, Suite C",Nogales,AZ,85621,(520) 281-0566,05/30/2012,Imported Product,
I114,"Konoike Pacific California, Inc.",1420 Coil Avenue,Wilmington,CA,90744,(310) 518-1000,04/06/2018,Imported Product,
I116 + V116,Celebrity Foods Division of Atalanta Corporation,1 Atalanta Plaza,Elizabeth,NJ,7206,(908) 351-8000,09/27/2021,"Certification - Export, Imported Product",
I118,"Capital Cold Storage, LLC",2490 W 78th Street,Hialeah,FL,33016,(954) 707-1515,10/20/2021,,
I119,"Supermercados Econo, Inc.","State Road #3 Km. 16.2, Lot 3 Bo.",Canovanas,PR,729,(787) 620-9292,08/23/2021,Imported Product,
I121,"RSF Inc. ""DBA"" Freezpak Logistics",1029 Newark Avenue,Elizabeth,NJ,7208,(973) 523-1899,07/12/2021,Imported Product,Freezpak Logistics
I122 + V47449,"Morgan-Todt, Inc. dba United Cold Storage",940 81st Avenue,Oakland,CA,94621,(415) 734-6884,06/17/2021,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",
I123 + V123,"Lineage Logistics, LLC",3200 Lineage Way,Portsmouth,VA,23703,(757) 929-0100,07/14/2021,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry, Off-Premise Freezing - Siluriformes",
I125 + V19857,"Morgan-Todt, Inc. dba United Cold Storage",1600 Donner Avenue,San Francisco,CA,94124,(415) 589-5645,07/23/2021,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product",United Cold Storage
I126,"Theriault's Abattoir, Inc.",Route 1A,Hamlin,ME,4785,(207) 868-3344,07/14/2010,Imported Product,
I129,Sorbello Refrigerated Services,1269 North Main Road,Vineland,NJ,8360,(707) 718-8294,10/06/2021,Imported Product,
I13,"Delaware Avenue Enterprises, Inc.",c/o Packer Avenue Marine Terminal 3301 S. Columbus Blvd.,Philadelphia,PA,19148,(215) 551-2735,04/30/2008,Imported Product,
I130 + V47695,Jose Enriquez Inc. dba JE Exports,1812 Panamerican Street,Calexico,CA,92231,(619) 778-0236,,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",
I133,Port of Palm Cold Storage Inc.,1800 Martin Luther King Jr. Blvd.,Riviera Beach,FL,33404,(561) 881-7256,10/28/2021,Imported Product,
I135,Derstine's Inc.,3245 State Road,Sellersville,PA,18960,(212) 572-7000,10/29/2021,Imported Product,
I138,"Atkins Sheep Ranch, Inc.",40880 Encyclopedia Circle,Fremont,CA,94538,(510) 440-8700,05/25/2021,Imported Product,
I145,Kukui Meat,1713 Hau Street,Honolulu,HI,96819,(808) 533-4873,03/18/2016,Imported Product,
I15,NOCS West Gulf,9223 Texas Hwy 225,La Porte,TX,77571,(281) 930-8002,07/29/2020,Imported Product,
I153,"Micronesian Brokers, Inc.",545 Chalan Machuate St.,Maite,GU,96910,(671) 477-0970,05/31/2016,Imported Product,
I154,"Livingston International, Inc.",472 5th Street South,Pembina,ND,58271,(701) 825-1313,03/29/2018,Imported Product,"Norman G. Jensen, Inc."
I158,Merchants Terminal Corporation,7950 Oceano Avenue,Jessup,MD,20794,(410) 799-8700,05/09/2016,Imported Product,
I16,Americold Logistics,1610 Sepulveda Boulevard,Carson,CA,90745,(310) 632-6265,03/17/2021,Imported Product,
I168,"Goya Foods, Inc.",350 County Road,Jersey City,NJ,7307,(201) 348-4900,01/12/2015,Imported Product,
I17,"Lineage Logistics PFS, LLC",3101 South 3rd Street,Philadelphia,PA,19148,(215) 271-5600,08/10/2020,Imported Product,
I171,Yaong Corporation Rem Center Warehouse,"Unit 6 Rem Center, Cheribiyan Drive",Saipan,MP,96950,(670) 235-3890,08/01/2017,Imported Product,
I18,Southwest Food Processing and Refrigerated Services,12190 Rojas Drive,El Paso,TX,79936,(915) 860-2200,05/30/2012,Imported Product,
I180,"Timberline Cold Storage, Inc.",55 Commerce Ave.,Pitman,NJ,8071,(856) 589-3130,10/06/2008,Imported Product,
I182,Americold Logistics LLC,540 Franklinville Rd.,Mullica Hill,NJ,8062,(856) 285-2663,07/08/2021,Imported Product,
I185,Malgor & Co.,Box 366,Catano,PR,963,(787) 788-0303,01/19/2017,Imported Product,
I19 + V19,"Lineage Logistics PFS, LLC",400 Polar Way,San Leandro,CA,94577,(510) 352-3900,04/13/2020,"Certification - Export, Imported Product","LINEAGE LOGISTICS PFS, LLC"
I190,"DSI Logistics, Inc.",2702 Holmes Road,Houston,TX,77051,(713) 799-9429,06/24/2021,Imported Product,
I191,"Camden Port Services, Inc.",430 N. Main Street,Woodstown,NJ,8098,(856) 769-4141,10/03/2008,Imported Product,
I193,Quirch Foods Company,7600 NW 82 Place,Medley,FL,33166,(305) 691-3535,12/09/2019,Imported Product,
I2,CPS Distribution Service,51 Elm Street,Woodstown,NJ,8098,(856) 769-4141,01/24/2014,Imported Product,
I20,"Versacold Texas, LP",502 North Broadway,La Porte,TX,77571,(281) 687-2613,05/30/2017,Imported Product,"Americold; Americold Logistics; Americold Logistics, LLC; ART Mortage Borrower OPCO 2010-5; Versacold Logistics Services US; Versacold USA, Inc."
I20124 + V20124,W.T. Distributors Inc.,351 W. Cole Road,Calexico,CA,92231,(619) 357-6633,04/16/2020,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product",
I207,TC Trading Company,1755 Boblett Street,Blaine,WA,98230,(360) 332-5656,12/12/2017,Imported Product,TC Trading Company INC
I208,Ashland Cold Storage,1556 W 43rd Street,Chicago,IL,60609,(773) 847-2700,02/23/2018,Imported Product,
I21,Summit Cold Storage,5450 S. Center Avenue,Summit,IL,60501,(708) 924-1137,05/14/2014,Imported Product,
I21467,"United Source One, Inc.",4610 Mercedes Drive,Belcamp,MD,21017,(410) 278-0800,04/10/2019,Imported Product,Source One Imports
I21935,Suffolk Cold Storage,2000 North Gate Commerce Parkway,Suffolk,VA,23435,(757) 465-3600,03/25/2019,Imported Product,
I22 + V22,"Melrose Storage and Distribution, Inc.",400 Kennedy Drive,Sayreville,NJ,8872,(732) 316-4740,04/30/2020,"Certification - Export, Identification - Meat, Imported Product",
I226,"Berkshire Refrigerated Warehousing, LLC",4550 South Packers Avenue,Chicago,IL,60609,(773) 254-2424,09/27/2018,Imported Product,
I252,American Samoa Government,American Somaoa Government,Pago Pago,AS,96799,(684) 633-4520,07/06/2016,Imported Product,
I255,"Pacific Coast Container, Inc.",737 Bay Street,Oakland,CA,94607,(510) 893-5420,09/30/2005,Imported Product,
I258,Seaonus Cold Storage,2625 West 5th Street,Jacksonville,FL,32254,(904) 486-6059,02/24/2016,Imported Product,
I26,Lakeside Refrigerated Services,2600 Oldmans Creek Road,Swedesboro,NJ,8085,(650) 813-1300,11/06/2018,Imported Product,
I261,"J.C. Tenorio Ent., Inc.",Joeten Shopping Center Susupe,Saipan,MP,96950,(670) 234-6446,05/29/2012,Imported Product,
I264,U.S. Import Meat Inspection,410 Elm Street,Sweet Grass,MT,59484,(406) 335-2980,02/07/2017,Imported Product,
I265,"Freezer Services of Michigan, L.L.C.",8350 Saint Aubin Street,Hamtramck,MI,48212,(313) 871-5040,08/10/2016,Imported Product,Border City U.S.A
I267,"Goya de Puerto Rico, Inc.",Luchetti Industrial Park,Bayamon,PR,621,(809) 740-4900,02/20/1991,Imported Product,
I271,"A. N. Deringer, Inc.",178 West Service Road,Champlain,NY,12919,(518) 298-7465,01/24/2019,Imported Product,
I27373,The Classic Jerky Company,21655 Trolley Industrial Drive,Taylor,MI,48180,(313) 292-4100,03/08/2016,Imported Product,
I277,"Jacob Fleishman Cold Storage, Inc.",1177 NW 81st  Street,Miami,FL,33150,(305) 696-2350,06/13/2016,Imported Product,
I28,Luen Fung Enterprises,Harmon Industrial Park,Harmon,GU,96931,(671) 646-7072,04/10/2017,Imported Product,
I3,"Northwestern Selecta, Inc.",796 Calle C Mario Julia Industrial Park,San Juan,PR,920,(787) 781-1950,11/20/2017,Imported Product,"Numeat Packing, Inc."
I30,F & C & R Investment Corporation,"Road 175 KM 27.2, Lot 34 Urb. Industrial Rio Canas",Caguas,PR,725,(787) 783-1988,10/19/2009,Imported Product,
I301,Total Distribution Inc.,600 Ellis Road North,Jacksonville,FL,32254,(904) 446-4828,02/10/2020,Imported Product,
I303,"Northwestern Meat, Inc.",2100 N.W. 23 Street,Miami,FL,33142,(305) 633-8112,07/14/2009,Imported Product,
I31,"Lineage Logistics PFS, LLC",2700 Trade Street,Chesapeake,VA,23323,(757) 558-4700,01/16/2020,Imported Product,
I311,"Jose G. Flores, Inc.",Amelia Industrial Park; Lot #27 D Street,Guaynabo,PR,966,(787) 793-2400,07/08/2016,Imported Product,
I319,"Ballester Hermanos, Inc.","Ballester Hermanos, Inc.",Catano,PR,962,(787) 788-4110,03/21/2019,Imported Product,
I327,"Mendez & Co., Inc.",Las Palmas Industrial Park,Catano,PR,962,(787) 788-1018,03/13/2003,Imported Product,
I33,Payless Distribution Center (PDC),370 Mendioka Street,Dededo,GU,96929,(671) 477-9266,09/09/2016,Imported Product,
I34311,Paden Cold Inc.,5714 Curlew Dr.,Norfolk,VA,23502,(757) 410-3175,11/14/2018,Imported Product,
I34582 + V34582,"Lineage Logistics PFS, LLC",518 Forest Parkway,College Park,GA,30349,(404) 767-2210,01/23/2020,"Certification - Export, Identification - Meat, Identification - Poultry",
I35,Save Logistics,Carr. 165,Guaynabo,PR,968,(787) 798-4819,02/15/2019,Imported Product,
I36,"Lineage Logistics, LLC",1780 West Beaver Street,Jacksonville,FL,32209,(904) 301-1400,10/19/2020,Imported Product,
I37,"Lineage Logistics PFS, LLC",10060 Porter Road,La Porte,TX,77571,(281) 867-4500,01/31/2020,Imported Product,
I39,Americold Logistics LLC,220 Nordic Way,Pooler,GA,31322,(404) 328-6211,12/22/2021,Imported Product,AGRO Merchants Group; Nordic Logistics and Warehousing LLC
I39993 + V39993A,Port of Palm Cold Storage,1800 Dr. Martin Luther King Jr. Blvd.,Riviera Beach,FL,33404,(561) 881-7256,06/25/2020,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Imported Product",Caribbean Foods Service ; Foods USA
I4,Broadleaf Inc.,5600 S. Alameda Street,Vernon,CA,90058,(323) 826-9890,05/30/2012,Imported Product,
I412,Trafon Group Inc.,Calle C #1229 Mercado Central,San Juan,PR,922,(787) 783-0011,05/16/2019,Imported Product,
I42,Laredo Cold Storage,1130 Black Diamond Circle,Laredo,TX,78045,(956) 267-9928,04/14/2015,Imported Product,
I422,Piatkowski Riteway Meats Inc.,3555 Witmer Road,Niagara Falls,NY,14305,(716) 298-9865,09/12/2016,Imported Product,
I45,Lineage Logistics,7748 Palmetto Commerce Pkwy,North Charleston,SC,29420,(843) 998-6067,06/09/2021,Imported Product,"Millard Refrigerated Services, LLC"
I450,"Continental Forwarding Services, Inc.",23852 Mines Road,Laredo,TX,78045,(956) 724-5672,06/03/2021,Imported Product,
I46 + V46,PG Distribution LLC,12120 River Bank Drive,Laredo,TX,78045,(956) 523-7258,03/29/2016,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
I46124 + V46124,"Cross Partners Cold Storage, Inc.",7525 Britannia Park Place,San Diego,CA,92154,(619) 955-7772,09/07/2017,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product",
I47,"A. N. Deringer, Inc.",438 Griffith Ave.,Sweetgrass,MT,59484,(406) 335-2342,12/22/2017,Imported Product,
I47009,"Smithfield Distribution, LLC",2895 Principio Parkway East,North East,MD,21901,(443) 256-7090,05/21/2021,Imported Product,
I47473,Rovagnati North America LLC,West Oak Road Block 1003,Vineland,NJ,7003,(914) 643-9560,12/01/2020,Imported Product,
I47475,Presidential Express,99 New Hook Road,Bayonne,NJ,7002,(201) 443-1900,08/10/2021,Imported Product,
I48,"Lineage Logistics PFS, LLC",2500 S. Damen,Chicago,IL,60608,(773) 847-1800,01/27/2020,Imported Product,
I49,"Lineage Logistics PFS, LLC",60 Commercial Street,Everett,MA,2149,(617) 387-2050,02/06/2020,Imported Product,
I5,Americold Logistics LLC,1125 Newton Way,Summerville,SC,29483,(843) 486-1126,01/13/2021,Imported Product,"Agro Merchant 's Group, Inc."
I50 + V50,"Lineage Logistics PFS, LLC",3200 E. Washington Blvd.,Vernon,CA,90058,(323) 261-4500,04/13/2020,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",
I51,Midway International Logistics LLC,948 Bradley Street,Watertown,NY,13601,(315) 586-2994,09/25/2018,Imported Product,
I51264 + V51264,Port of Wilmington Cold Storage,1 Shipyard Boulevard,Wilmington,NC,28412,(910) 726-1174,02/07/2018,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Imported Product, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Free",
I513,"Lineage Logistics PFS, LLC","Lineage Logistics PFS, LLC",Medley,FL,33178,(305) 885-7077,02/13/2020,Imported Product,
I515,"United States Cold Storage, LP",1602 Island Street,Laredo,TX,78041,(956) 722-3951,08/06/2009,Imported Product,
I517,"Lineage Logistics PFS, LLC",900 East M Street,Wilmington,CA,90744,(310) 518-1800,05/17/2021,Imported Product,
I52,"U. Okada & Company, LTD",1000 Queen Street,Honolulu,HI,96814,(808) 597-1102,05/30/2012,Imported Product,
I521,Merchants Terminal Corp. Delaware LLC,2 Dock View Drive,New Castle,DE,19720,302654340,02/12/2007,Imported Product,
I526,Pilot Watertower Cold Storage,2820 Soto Street,Vernon,CA,90058,(323) 980-7789,05/30/2012,Imported Product,
I528,United States Cold Storage Inc.,11801 NW 102 Road,Medley,FL,33178,(305) 691-5391,07/14/2017,Imported Product,
I53,Matosantos Comercial,Calle A Lote #23 Cabo Caribe,Vega Baja,PR,694,(787) 793-6900,12/10/2019,Imported Product,
I530,"RLS Cold Storage, Inc.",2185 Main Road,Newfield,NJ,8344,(856) 694-2828,05/14/2021,Imported Product,
I532 + V532,"Lineage Logistics PFS, LLC",360 Avenue P,Newark,NJ,7105,(973) 820-4022,01/16/2020,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Imported Product, Off-Premise Freezing - Meat, Off-Premise Freezing - P",
I536,"NEP Cold Storage, Inc.",2701 Red Lion Road,Philadelphia,PA,19114,(215) 934-6000,01/31/2017,Imported Product,
I539,"R.H. Services, Inc.",5930 Shull Street,Bell Gardens,CA,90201,(562) 776-5206,09/20/2019,Imported Product,
I54,"Weighmasters Murphy, Inc.",1601 West 12th Street,Long Beach,CA,90813,(562) 495-4144,02/16/2017,Imported Product,
I54264 + V54264,Cordele Food Holdings,201 N. Harris Street,Cordele,GA,31015,(229) 276-0077,03/21/2018,"Certification - Export, Identification - Meat, Identification - Poultry",
